model,band,stations,station_days,mae,mae_lo,mae_hi,nmae_pct,vs_idw_pct,vs_idw_lo,vs_idw_hi,vs_nearest_pct,vs_nearest_lo,vs_nearest_hi
nearest_station,0-20 km,357,95684,19.066,17.931,20.178,35.072,-17.96,-21.021,-15.034,,,
idw_k8,0-20 km,357,95684,16.163,15.243,17.114,29.732,,,,15.225,13.069,17.369
m1_level_l1,0-20 km,357,95684,16.543,15.44,17.702,30.431,-2.35,-5.076,0.542,13.234,10.094,16.453
m2_residual_l2,0-20 km,357,95684,17.179,16.07,18.343,31.6,-6.284,-9.05,-3.422,9.898,6.616,13.094
m3_residual_l2_nogeo,0-20 km,357,95684,16.774,15.842,17.797,30.856,-3.779,-5.836,-1.709,12.022,9.204,14.745
combined,0-20 km,357,95684,16.774,15.842,17.797,30.856,-3.779,-5.836,-1.709,12.022,9.204,14.745
nearest_station,20-50 km,142,18474,25.251,21.862,29.046,51.468,-19.382,-28.443,-11.0,,,
idw_k8,20-50 km,142,18474,21.152,18.407,24.135,43.112,,,,16.235,9.91,22.144
m1_level_l1,20-50 km,142,18474,18.628,16.332,21.268,37.968,11.93,5.382,18.06,26.229,17.816,33.892
m2_residual_l2,20-50 km,142,18474,19.119,16.869,21.661,38.968,9.611,3.694,15.134,24.286,16.085,32.054
m3_residual_l2_nogeo,20-50 km,142,18474,18.603,16.418,21.01,37.916,12.051,6.758,16.97,26.33,18.714,33.549
combined,20-50 km,142,18474,18.603,16.418,21.01,37.916,12.051,6.758,16.97,26.33,18.714,33.549
nearest_station,50-100 km,200,23396,19.969,17.504,23.051,50.322,-23.469,-31.641,-16.388,,,
idw_k8,50-100 km,200,23396,16.173,14.288,18.45,40.756,,,,19.008,14.08,24.036
m1_level_l1,50-100 km,200,23396,15.103,13.313,17.19,38.058,6.62,0.136,12.565,24.37,17.52,31.44
m2_residual_l2,50-100 km,200,23396,15.46,13.805,17.45,38.96,4.407,-1.91,10.331,22.578,15.46,29.92
m3_residual_l2_nogeo,50-100 km,200,23396,14.995,13.359,17.006,37.787,7.286,1.534,12.646,24.909,18.405,31.871
combined,50-100 km,200,23396,14.995,13.359,17.006,37.787,7.286,1.534,12.646,24.909,18.405,31.871
nearest_station,100 km+,130,5033,27.198,20.832,36.205,65.149,-18.18,-28.167,-8.508,,,
idw_k8,100 km+,130,5033,23.014,17.825,29.793,55.127,,,,15.383,7.841,21.977
m1_level_l1,100 km+,130,5033,21.422,16.547,28.285,51.314,6.917,-7.671,21.412,21.236,9.58,33.529
m2_residual_l2,100 km+,130,5033,23.087,18.579,29.239,55.302,-0.319,-13.09,10.832,15.113,3.846,24.969
m3_residual_l2_nogeo,100 km+,130,5033,24.735,19.648,31.857,59.249,-7.478,-19.551,1.341,9.056,-2.511,17.851
combined,100 km+,130,5033,21.422,16.547,28.285,51.314,6.917,-7.671,21.412,21.236,9.58,33.529
